timestamp_utc,label,model,backend,items,gpu_seconds,vram_peak_pct,abort_reason
2026-08-20T14:34:19+00:00,Qwen2.5-7B-Instruct/spontaneous,Qwen/Qwen2.5-7B-Instruct,vllm,40,59.7,81.1,
2026-08-20T14:35:52+00:00,Qwen2.5-7B-Instruct/elicited,Qwen/Qwen2.5-7B-Instruct,vllm,40,92.6,81.5,
2026-08-20T14:38:31+00:00,Meta-Llama-3.1-8B-Instruct/spontaneous,NousResearch/Meta-Llama-3.1-8B-Instruct,vllm,40,51.5,82.3,
2026-08-20T14:39:59+00:00,Meta-Llama-3.1-8B-Instruct/elicited,NousResearch/Meta-Llama-3.1-8B-Instruct,vllm,40,88.6,82.3,
2026-08-20T14:47:06+00:00,Mistral-7B-Instruct-v0.3/spontaneous,mistralai/Mistral-7B-Instruct-v0.3,vllm,40,69.8,86.9,
2026-08-20T14:48:30+00:00,Mistral-7B-Instruct-v0.3/elicited,mistralai/Mistral-7B-Instruct-v0.3,vllm,40,84.3,87.2,
2026-08-20T17:19:32+00:00,__workspace___hf__models__Qwen2_5-7B-Instruct/stage1,/workspace/.hf/models/Qwen2.5-7B-Instruct,vllm,400,957.6,82.0,
2026-08-20T17:39:48+00:00,__workspace___hf__models__Llama-3_1-8B-Instruct/stage1,/workspace/.hf/models/Llama-3.1-8B-Instruct,vllm,400,843.5,82.7,
2026-08-20T17:55:32+00:00,__workspace___hf__models__Mistral-7B-Instruct-v0_3/stage1,/workspace/.hf/models/Mistral-7B-Instruct-v0.3,vllm,400,846.7,86.9,
2026-08-20T18:00:10+00:00,__workspace___hf__models__Qwen2_5-7B-Instruct/stage3,/workspace/.hf/models/Qwen2.5-7B-Instruct,vllm,19,188.0,81.3,
2026-08-20T18:05:06+00:00,__workspace___hf__models__Llama-3_1-8B-Instruct/stage3,/workspace/.hf/models/Llama-3.1-8B-Instruct,vllm,18,137.4,82.4,
2026-08-20T18:09:06+00:00,__workspace___hf__models__Mistral-7B-Instruct-v0_3/stage3,/workspace/.hf/models/Mistral-7B-Instruct-v0.3,vllm,17,145.3,86.3,
2026-08-21T01:46:55+00:00,__workspace___hf__models__Qwen2_5-7B-Instruct/stage1,/workspace/.hf/models/Qwen2.5-7B-Instruct,vllm,1800,4250.1,83.7,
2026-08-21T02:50:15+00:00,__workspace___hf__models__Llama-3_1-8B-Instruct/stage1,/workspace/.hf/models/Llama-3.1-8B-Instruct,vllm,1800,3690.6,83.9,
2026-08-21T03:56:15+00:00,__workspace___hf__models__Mistral-7B-Instruct-v0_3/stage1,/workspace/.hf/models/Mistral-7B-Instruct-v0.3,vllm,1800,3865.0,88.3,
2026-08-21T04:17:35+00:00,__workspace___hf__models__Qwen2_5-7B-Instruct/stage3,/workspace/.hf/models/Qwen2.5-7B-Instruct,vllm,95,1162.0,81.4,
